GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
8600000US51560,51560,ZCTA5 51560,855,74,51336,4607
8600000US51561,51561,ZCTA5 51561,547,90,47802,8695
8600000US51562,51562,ZCTA5 51562,201,43,46442,6204
8600000US51563,51563,ZCTA5 51563,217,54,42153,21454
8600000US51564,51564,ZCTA5 51564,233,49,44583,19886
8600000US51565,51565,ZCTA5 51565,251,47,54306,7858
8600000US51566,51566,ZCTA5 51566,3026,137,32835,4509
8600000US51570,51570,ZCTA5 51570,351,57,47159,8138
8600000US51571,51571,ZCTA5 51571,291,52,78438,42125
8600000US51572,51572,ZCTA5 51572,170,40,43750,11277
8600000US51573,51573,ZCTA5 51573,420,43,57500,8708
8600000US51575,51575,ZCTA5 51575,546,56,75227,9602
8600000US51576,51576,ZCTA5 51576,729,84,74978,22756
8600000US51577,51577,ZCTA5 51577,553,47,54107,7519
8600000US51578,51578,ZCTA5 51578,22,11,51000,11717
8600000US51579,51579,ZCTA5 51579,1028,82,44400,4775
8600000US51601,51601,ZCTA5 51601,2601,120,39946,4956
8600000US51630,51630,ZCTA5 51630,84,25,22237,16578
8600000US51631,51631,ZCTA5 51631,119,27,52188,9068
8600000US51632,51632,ZCTA5 51632,2488,171,41680,5114
8600000US51636,51636,ZCTA5 51636,222,42,45000,16468
8600000US51637,51637,ZCTA5 51637,97,28,30625,4293
8600000US51638,51638,ZCTA5 51638,616,64,47625,5492
8600000US51639,51639,ZCTA5 51639,464,46,49167,6702
8600000US51640,51640,ZCTA5 51640,708,63,44868,4988
8600000US51645,51645,ZCTA5 51645,116,39,52692,14165
8600000US51646,51646,ZCTA5 51646,397,52,43393,6273
8600000US51647,51647,ZCTA5 51647,55,23,59583,39785
8600000US51648,51648,ZCTA5 51648,106,32,29375,12898
8600000US51649,51649,ZCTA5 51649,145,31,45179,17121
8600000US51650,51650,ZCTA5 51650,148,30,50455,14831
